ProductID,Zip,Units,Revenue,Country
725,H1B,1,1385.37,Canada
2235,H1B,2,1573.74,Canada
713,H1B,1,1920.87,Canada
574,H1B,1,10429.65,Canada
94,H1B,1,10395,Canada
609,H1B,1,9346.05,Canada
2064,H1B,2,11716.74,Canada
714,H1B,1,1920.87,Canada
826,H1B,1,11339.37,Canada
2149,H1B,2,10456.74,Canada
992,H1B,1,3464.37,Canada
726,M4X,1,1385.37,Canada
725,M4X,1,1385.37,Canada
910,M4X,1,4976.37,Canada
727,R3T,1,755.37,Canada
1426,R3T,1,3432.24,Canada
1182,R3T,1,1889.37,Canada
976,R3T,1,3779.37,Canada
758,R3T,1,1007.37,Canada
1112,R3T,1,1397.97,Canada
1425,R3T,1,3432.24,Canada
740,R3G,1,2046.87,Canada
604,R3G,1,5540.85,Canada
726,R3G,1,1385.37,Canada
758,R3G,1,1007.37,Canada
1131,R3G,1,5039.37,Canada
753,R3G,1,2928.87,Canada
2234,R3G,1,786.87,Canada
739,R3G,1,2046.87,Canada
768,R3G,1,1259.37,Canada
725,R3G,1,1385.37,Canada
728,R3G,1,755.37,Canada
757,R3G,1,1007.37,Canada
1956,R3G,2,3690.54,Canada
606,R3G,1,3776.85,Canada
754,R3G,1,2928.87,Canada
2235,R3G,1,786.87,Canada
658,R3G,1,10832.85,Canada
758,M5P,1,1007.37,Canada
1110,M5P,1,2519.37,Canada
663,M5P,1,9185.4,Canada
727,M5P,1,755.37,Canada
2277,M5P,1,3023.37,Canada
1109,M5P,1,2519.37,Canada
1120,R3V,1,2078.37,Canada
786,R3V,1,818.37,Canada
2380,R3V,1,3527.37,Canada
1990,R3V,1,3086.37,Canada
1066,R3V,1,3558.87,Canada
1426,M5R,1,3432.24,Canada
2064,M5R,1,5858.37,Canada
796,M5R,1,3306.87,Canada
1894,M6G,1,8186.85,Canada
2234,M6G,1,786.87,Canada
599,M6G,1,9043.65,Canada
475,M6G,1,11642.4,Canada
550,M6G,1,4847.85,Canada
1974,R3S,1,629.37,Canada
2234,R3N,1,786.87,Canada
2254,R3N,1,692.37,Canada
990,R3N,1,5669.37,Canada
2234,L5P,2,1573.74,Canada
1517,L5P,1,1699.74,Canada
658,L5P,1,10895.85,Canada
769,L5P,1,3086.37,Canada
491,L5P,1,9783.9,Canada
979,L5P,1,4724.37,Canada
770,L5P,1,3086.37,Canada
901,L5P,1,4913.37,Canada
491,L5P,1,9783.9,Canada
2255,M6H,2,1384.74,Canada
990,M6H,1,5291.37,Canada
989,M6H,1,5606.37,Canada
1975,M6H,1,629.37,Canada
2388,M6H,1,3716.37,Canada
2254,M6H,2,1384.74,Canada
93,M6H,1,12474,Canada
